Shop Name,Phone Number
আপেল ল্যাব অরিজিনাল (ম্যাকবুক রিপেয়ার নিয়ার)সিনসিয়া 2010 ধানমন্ডি ব্রাঞ্চ,01603-710044
আসুস এক্সক্লুসিভ স্টোর | ধানমন্ডি,01325-065740
Tech Monster BD,01978-524021
পিসি এক্সপ্রেস,01682-777376
রোজ টেক & কম্পিউটার,01911-124266
ক্রিয়েটাস কম্পিউটার লিঃ,01732-235757
"আরোজ টেকনোলজি বিডি, মাল্টিপ্ল্যান সেন্টের ব্রাঞ্চ",01970-138150
টেকনো প্যালেস,01683-026273
কম্পিউটার জোন,01760-008617
পিসি লিংকস,01870-749009
ইটমেক্স টেকনোলজি,01977-674044
Aroz Technology BD (Alpona Plaza Branch),
PC SOURCE,01880-710188
মাইক্রোগেটস ইট,01883-635202
সিটি কম্পিউটার & টেকনোলজি,01915-829757
টেক মুন বিডি,01975-996903
ইট পয়েন্ট,01720-307800
ইটিসি কম্পিউটার,01746-303749
Sumash Technologies,
ইলেক্ট্রো সফ্ট,01613-208040
টেক এম্পোরিয়াম,01678-161212
স্পর্ক টেকনোলজিস ল্যাপটপ ডেক্সটপ কম্পিউটার প্রিন্টের রিপেয়ার সার্ভিসিং,01739-393685
প্রভেন কম্পিউটার,01706-920652
সার্জ টেক,01718-097799
জুম টেকনোলজি,01833-683516
ব্রাদার্স গ্যাজেট | ল্যাপটপ শপ,01955-996905
ডিএনএফ কম্পিউটারস,01970-989233
স্টার টেক ঋগ হাউস,01313-717021
সেঞ্চুরি কম্পিউটারস্,01877-778074
গ্যাজেট ৩৬০°,01678-714013
নেক্সাস কম্পিউটার - মাল্টিপ্ল্যান,01970-000912
Universal Computer BD,01708-171993
Gadget A to Z,01973-209873
Tech Haven,01606-590502
OneTech,01706-473787
সমন্ত কম্পিউটার অ্যান্ড সার্ভিসেস,01601-905635
জেএম কম্পিউটার ফেয়ার,01320-406625
এলিতে গ্যাজেট,01832-193311
নুর টেকনোলজি,01916-811389
ব্রাদার্স ইলেকট্রনিক্স,01919-339866
ইনোভেশন অ্যালার্ট,01715-258529
মুয়াযা ইট,01979-990258
"রউটেক, ইউজড ল্যাপটপস অ্যান্ড নিউ ল্যাপটপস সেলের",01878-566030
অরিজিনাল স্টোর এলটিডি.,01779-855403
ইট ল্যাব,01615-591919
বেষ্ট পিসি/ল্যাপটপ সার্ভিস সেন্টের ইন ঢাকা | 3জি কম্পিউটার,01841-594941
Minion Gadgets BD,01962-084631
তাকওয়া আইটি,01819-529548
AmarTech,01877-991115
ডলফিন কম্পিউটার্স এলটিডি - এইচপি পার্টনার,01713-493184
আসুস এক্সক্লুসিভ স্টোর | মাল্টিপ্ল্যান সিটি সেন্টের,01787-975993
ফোর স্টার ইট (মাল্টিপ্ল্যান ব্রাঞ্চ),01730-433475
রায়ান্স কম্পিউটার্স - বনানী,
আর গ্যাজেট,01955-129887
আর গ্যাজেট,01955-129887
মাইক্রো গ্যালারী,01730-906598
ট্রাস্টটেক কম্পিউটার এন্ড নেটওয়ার্কস,01965-656300
FLORA LIMITED - ELEPHANT ROAD BRABCH.,01723-224377
ফান ফ্যাক্ট টেকনোলজি,01601-772722
,
